Number,Names,Rounds,Kills,Deaths,Assists,ACS,KD,FBSR%,APR,ADR,KPR,DPR,First Kills,First Deaths,HS%,FKPR,FDPR,Most Kills,Impact,Spike Defused,Spike Planted,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5
43,Lysoar,85,60,63,14,208.50,0.95,0.38,0.16,208.50,0.71,0.74,6,10,31.50,0.07,0.12,18,1.09,1,2,11,0,3,0,0,0,0,0,0
44,MaKo,283,183,189,145,190.46,0.97,0.55,0.51,190.46,0.65,0.67,16,13,30.77,0.06,0.05,20,1.47,5,35,31,11,2,0,4,2,0,0,0
45,Melser,90,44,69,24,145.50,0.64,0.41,0.27,145.50,0.49,0.77,9,13,28.50,0.10,0.14,14,0.71,1,16,6,2,0,0,0,0,0,0,0
46,mindfreak,358,214,220,132,164.69,0.97,0.41,0.37,164.69,0.60,0.61,13,19,29.31,0.04,0.05,23,1.34,5,15,43,7,0,0,6,3,1,0,0
47,mojj,216,141,152,60,192.80,0.93,0.53,0.28,192.80,0.65,0.70,28,25,29.30,0.13,0.12,22,1.18,4,4,22,12,1,0,5,1,1,0,0
48,MrFaliN,216,160,143,74,209.70,1.12,0.39,0.34,209.70,0.74,0.66,9,14,26.00,0.04,0.06,28,1.50,9,19,34,4,1,1,4,1,1,0,0
49,Munchkin,129,90,97,29,211.67,0.93,0.52,0.22,211.67,0.70,0.75,16,15,25.67,0.12,0.12,17,1.12,1,6,14,10,1,0,2,0,0,0,0
50,NagZ,90,43,60,29,149.50,0.72,0.44,0.32,149.50,0.48,0.67,4,5,19.25,0.04,0.06,13,0.94,1,3,8,0,1,0,0,0,0,0,0
51,nAts,92,70,64,14,211.25,1.09,0.53,0.15,211.25,0.76,0.70,10,9,26.75,0.11,0.10,34,1.28,1,4,17,3,1,0,0,0,0,0,0
52,nobody,358,248,266,117,198.31,0.93,0.42,0.33,198.31,0.69,0.74,36,49,30.13,0.10,0.14,27,1.23,7,33,46,11,5,0,6,1,0,0,0
53,nukkye,161,105,119,31,185.71,0.88,0.50,0.19,185.71,0.65,0.74,10,10,19.57,0.06,0.06,22,1.02,6,4,16,6,1,0,0,2,0,0,0
54,qRaxs,216,145,155,91,192.90,0.94,0.46,0.42,192.90,0.67,0.72,11,13,32.70,0.05,0.06,20,1.33,7,16,26,9,3,0,0,1,1,0,0
55,qw1,216,151,163,18,190.60,0.93,0.48,0.08,190.60,0.70,0.75,35,38,30.20,0.16,0.18,21,0.97,4,4,27,8,0,1,1,1,0,0,0
56,Rb,283,163,191,45,162.85,0.85,0.49,0.16,162.85,0.58,0.67,23,24,23.62,0.08,0.08,23,0.96,10,8,27,9,1,0,9,1,1,0,0
57,Redgar,92,49,71,32,162.75,0.69,0.44,0.35,162.75,0.53,0.77,7,9,31.75,0.08,0.10,19,0.87,0,5,9,2,0,0,0,0,0,0,0
58,rhyme,161,94,113,87,174.00,0.83,0.32,0.54,174.00,0.58,0.70,6,13,31.57,0.04,0.08,20,1.30,6,26,18,6,0,0,2,0,0,0,0
59,rin,237,122,167,81,144.91,0.73,0.41,0.34,144.91,0.51,0.70,12,17,23.55,0.05,0.07,16,0.96,2,17,27,2,0,1,1,1,0,0,0
60,s0m,102,67,66,41,180.20,1.02,0.58,0.40,180.20,0.66,0.65,7,5,27.40,0.07,0.05,23,1.42,2,20,7,3,1,1,1,0,0,0,0
61,Saadhak,515,310,355,252,185.67,0.87,0.45,0.49,185.67,0.60,0.69,53,65,19.50,0.10,0.13,21,1.31,11,64,56,17,1,0,3,0,0,0,0
62,Sayaplayer,129,105,94,15,230.67,1.12,0.66,0.12,230.67,0.81,0.73,23,12,25.83,0.18,0.09,21,1.29,3,0,21,8,0,0,2,2,0,0,0
63,Sayf,92,69,68,26,222.75,1.01,0.50,0.28,222.75,0.75,0.74,10,10,22.00,0.11,0.11,26,1.30,2,5,14,5,0,0,1,0,0,0,0
64,Shao,204,126,129,70,168.38,0.98,0.52,0.34,168.38,0.62,0.63,12,11,32.63,0.06,0.05,24,1.31,9,29,26,5,0,0,5,2,1,0,0
65,Smoggy,358,261,265,77,201.00,0.98,0.50,0.22,201.00,0.73,0.74,34,34,32.31,0.09,0.09,25,1.19,3,28,53,8,5,0,2,1,0,0,0
66,something,358,269,245,73,210.13,1.10,0.56,0.20,210.13,0.75,0.68,64,50,23.00,0.18,0.14,31,1.34,6,4,43,17,3,1,3,1,0,1,0
67,soulcas,92,44,58,25,134.75,0.76,0.50,0.27,134.75,0.48,0.63,4,4,39.50,0.04,0.04,13,0.97,0,7,7,2,0,0,0,0,0,0,0
68,stax,283,182,198,101,175.92,0.92,0.40,0.36,175.92,0.64,0.70,14,21,31.85,0.05,0.07,27,1.24,7,37,46,5,1,0,1,4,0,0,0
69,SugarZ3ro,51,21,41,17,120.67,0.51,0.14,0.33,120.67,0.41,0.80,1,6,17.00,0.02,0.12,10,0.55,2,0,4,1,0,0,0,0,0,0,0
70,SUYGETSU,204,148,123,34,193.50,1.20,0.67,0.17,193.50,0.73,0.60,16,8,32.00,0.08,0.04,24,1.41,6,7,24,9,1,0,2,0,2,0,0
71,ten,51,28,45,5,160.67,0.62,0.24,0.10,160.67,0.55,0.88,4,13,16.67,0.08,0.25,12,0.43,2,1,5,1,0,0,0,0,0,0,0
72,tuyz,515,304,317,247,163.08,0.96,0.43,0.48,163.08,0.59,0.62,26,34,29.00,0.05,0.07,23,1.43,20,40,49,19,0,0,9,3,1,0,0
73,tZh,85,42,59,23,137.25,0.71,0.45,0.27,137.25,0.49,0.69,5,6,38.50,0.06,0.07,17,0.87,0,5,6,3,0,0,0,0,1,0,0
74,Victor,102,85,76,17,229.40,1.12,0.59,0.17,229.40,0.83,0.75,17,12,27.60,0.17,0.12,22,1.34,5,7,14,6,1,0,1,0,1,0,0
75,whz,237,212,181,41,254.27,1.17,0.56,0.17,254.27,0.89,0.76,48,37,19.27,0.20,0.16,31,1.43,6,10,32,18,5,1,1,0,0,0,0
76,xeta,129,82,87,34,187.67,0.94,0.35,0.26,187.67,0.64,0.67,7,13,24.83,0.05,0.10,17,1.19,2,8,9,7,0,0,2,1,0,0,0
77,yosemite,237,172,166,64,207.73,1.04,0.57,0.27,207.73,0.73,0.70,24,18,22.64,0.10,0.08,26,1.32,4,2,33,10,2,0,4,3,0,0,0
78,Yuicaw,85,59,68,13,206.75,0.87,0.53,0.15,206.75,0.69,0.80,16,14,30.25,0.19,0.16,18,0.94,2,1,14,0,2,0,0,0,0,0,0
79,Zest,283,197,201,91,200.92,0.98,0.48,0.32,200.92,0.70,0.71,28,30,37.31,0.10,0.11,26,1.29,3,9,38,10,3,0,3,3,0,1,0
80,ZmjjKK,358,286,273,66,226.44,1.05,0.44,0.18,226.44,0.80,0.76,50,63,19.19,0.14,0.18,27,1.26,3,5,45,22,6,1,2,2,0,0,0
81,Zyppan,204,136,154,59,198.25,0.88,0.43,0.29,198.25,0.67,0.75,22,29,28.63,0.11,0.14,21,1.11,2,17,28,6,1,0,2,0,0,0,0
