Numbers,Names,Rounds,Kills,Deaths,Assists,ACS,KD,FBSR%,APR,ADR,KPR,DPR,First Kills,First Deaths,HS%,FKPR,FDPR,Most Kills,Impact,Spike Defused,Spike Planted,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5
41,s0m,793,613,508,269,203.81,1.21,0.55,0.34,203.81,0.77,0.64,59,49,27.89,0.07,0.06,26,1.60,20,116,111,35,6,1,8,7,0,0,0
42,Saadhak,643,406,435,265,198.10,0.93,0.49,0.41,198.10,0.63,0.68,75,79,19.94,0.12,0.12,22,1.32,13,83,69,25,2,1,4,2,0,1,0
43,Sacy,478,324,340,163,196.45,0.95,0.51,0.34,196.45,0.68,0.71,38,36,31.86,0.08,0.08,23,1.27,17,61,54,16,5,0,4,2,1,0,0
44,Shyy,596,373,396,143,181.21,0.94,0.58,0.24,181.21,0.63,0.66,53,39,20.75,0.09,0.07,28,1.16,10,28,68,15,5,0,2,1,0,0,0
45,stellar,511,300,358,117,172.83,0.84,0.47,0.23,172.83,0.59,0.70,37,41,20.65,0.07,0.08,21,1.00,15,30,56,13,1,1,1,1,1,0,0
46,Tacolillalzh,596,388,417,113,188.11,0.93,0.48,0.19,188.11,0.65,0.70,101,110,18.54,0.17,0.18,34,1.09,12,7,59,24,4,0,5,0,0,0,0
47,TenZ,304,211,217,67,200.77,0.97,0.44,0.22,200.77,0.69,0.71,48,62,20.85,0.16,0.20,25,1.18,3,9,36,12,2,0,2,1,0,0,0
48,tuyz,643,393,400,263,167.06,0.98,0.46,0.41,167.06,0.61,0.62,36,43,26.90,0.06,0.07,21,1.39,14,79,67,12,2,1,4,4,0,0,0
49,Txozin,98,55,66,18,169.00,0.83,0.60,0.18,169.00,0.56,0.67,12,8,21.00,0.12,0.08,17,0.96,3,0,10,0,2,0,1,2,2,0,0
50,Victor,793,600,540,227,218.61,1.11,0.55,0.29,218.61,0.76,0.68,115,95,20.36,0.15,0.12,30,1.44,18,37,94,32,12,1,11,4,0,0,0
51,Xeppaa,601,432,430,223,202.55,1.00,0.48,0.37,202.55,0.72,0.72,48,52,25.24,0.08,0.09,28,1.38,18,53,75,23,6,0,4,2,0,1,0
52,zekken,478,392,349,129,242.59,1.12,0.51,0.27,242.59,0.82,0.73,67,65,22.64,0.14,0.14,31,1.45,11,21,74,25,6,0,6,3,1,0,0
54,Zellsis,601,399,378,145,182.76,1.06,0.47,0.24,182.76,0.66,0.63,41,46,18.55,0.07,0.08,22,1.31,21,64,78,13,4,0,12,4,0,0,0
